No,検査分類,表示名,施設ID,検査コード,検査名,検体コード,検体名,単位,標準単位,変換率
1,血液検査,白血球数,1.2.840.114319.5.1000.1.18.1,0211200,WBC（白血球数）,034,血液,10^3/μL,10^3/μL,1
2,血液検査,白血球数,1.2.840.114319.5.1000.1.22.1,0500100,白血球数,003,静全血,10^2/μL,10^3/μL,0.1
3,血液検査,白血球数,1.2.840.114319.5.1000.1.22.2,005101,Ｗｂｃ,1G1,末梢全血（HLA関連）,×^3/㎜^3,10^3/μL,1
4,血液検査,白血球数,1.2.840.114319.5.1000.1.23.3,2000101,白血球数,611,静脈血,E03/μl,10^3/μL,1
5,血液検査,白血球数,1.2.840.114319.5.1000.1.26.1,0204000,WBC,010,血液,10^9/L,10^3/μL,1
6,血液検査,白血球数,1.2.840.114319.5.1000.1.27.3,0000508,WBC(白血球),019,全血,百/μL,10^3/μL,0.1
7,血液検査,白血球数,1.2.840.114319.5.1000.1.28.13,0001,Ｗｂｃ,11,全血,×10*2/μl,10^3/μL,0.1
8,血液検査,白血球数,1.2.840.114319.5.1000.1.41.2,050101,白血球数,017,血液,X10*3/μL,10^3/μL,1
9,血液検査,白血球数,1.2.840.114319.5.1000.1.45.1,0068001,ＷＢＣ,001,血液,10^3/μL,10^3/μL,1
10,血液検査,白血球数,1.2.840.114319.5.1000.1.45.2,02002,ＷＢＣ,002,血漿,×10＾3/μｌ,10^3/μL,1
11,血液検査,白血球数,1.2.840.114319.5.1000.1.45.4,02002,ＷＢＣ,003,全血,×10＾3/μｌ,10^3/μL,1
12,血液検査,赤血球数,1.2.840.114319.5.1000.1.18.1,0211300,RBC（赤血球数）,034,血液,10^6/μL,10^6/μL,1
13,血液検査,赤血球数,1.2.840.114319.5.1000.1.22.1,0500200,赤血球数,003,静全血,10^4/μL,10^6/μL,0.01
14,血液検査,赤血球数,1.2.840.114319.5.1000.1.22.2,005102,Ｒｂｃ,1G1,末梢全血（HLA関連）,×^6/㎜^3,10^6/μL,1
15,血液検査,赤血球数,1.2.840.114319.5.1000.1.23.3,2000102,赤血球数,611,静脈血,E04/μl,10^6/μL,0.01
